age,tenure,nssec,proportion
18-24,Owned,AB,0.01953236485164836
18-24,Owned,C1,0.03828381209421913
18-24,Owned,C2,0.002970021344986827
18-24,Owned,DE,0.01659191708768548
18-24,Social rent,AB,0.0061316522214694665
18-24,Social rent,C1,0.01467358432883949
18-24,Social rent,C2,0.0014257555470269748
18-24,Social rent,DE,0.004569919942223442
18-24,Private rent,AB,0.007517266976207696
18-24,Private rent,C1,0.013952389208114174
18-24,Private rent,C2,0.0020134545734150533
18-24,Private rent,DE,0.005740828893649205
25-49,Owned,AB,0.047720056344212
25-49,Owned,C1,0.09233469824816569
25-49,Owned,C2,0.005730242116215282
25-49,Owned,DE,0.040885012193173594
25-49,Social rent,AB,0.01424301851186644
25-49,Social rent,C1,0.03375520245781544
25-49,Social rent,C2,0.0025729640148599332
25-49,Social rent,DE,0.010969304384974909
25-49,Private rent,AB,0.01782906682282606
25-49,Private rent,C1,0.033603071452369355
25-49,Private rent,C2,0.0028335299894124252
25-49,Private rent,DE,0.014479891302009393
50-64,Owned,AB,0.0524156470416151
50-64,Owned,C1,0.1027146988430808
50-64,Owned,C2,0.005834149017044042
50-64,Owned,DE,0.045948557935077745
50-64,Social rent,AB,0.012601974668642244
50-64,Social rent,C1,0.03103368177986562
50-64,Social rent,C2,0.002144440511627658
50-64,Social rent,DE,0.009840871330387324
50-64,Private rent,AB,0.013884894488391987
50-64,Private rent,C1,0.027786302325086863
50-64,Private rent,C2,0.0019479981550259962
50-64,Private rent,DE,0.01151738873316217
65+,Owned,AB,0.039823494989174986
65+,Owned,C1,0.07990192350772891
65+,Owned,C2,0.003997652384023849
65+,Owned,DE,0.036079168765793465
65+,Social rent,AB,0.00806119701767275
65+,Social rent,C1,0.02065722864160801
65+,Social rent,C2,0.0012094368050943707
65+,Social rent,DE,0.006679262876188196
65+,Private rent,AB,0.008789002561554179
65+,Private rent,C1,0.0180975087173485
65+,Private rent,C2,0.001097056469904396
65+,Private rent,DE,0.007577437527514925
