age,tenure,nssec,party,vote_share
18-24,Owned,AB,Conservative,0.154284599813173
18-24,Owned,AB,Labour,0.24407033098888806
18-24,Owned,AB,Liberal Democrat,0.22724497276802413
18-24,Owned,AB,Reform UK,0.0607685333043505
18-24,Owned,AB,Green,0.29942783926324607
18-24,Owned,AB,Other,0.014203723862318314
18-24,Owned,C1,Conservative,0.18655080411759947
18-24,Owned,C1,Labour,0.21896808796660217
18-24,Owned,C1,Liberal Democrat,0.19874871787764312
18-24,Owned,C1,Reform UK,0.11178536592732782
18-24,Owned,C1,Green,0.26736226374460453
18-24,Owned,C1,Other,0.016584760366222858
18-24,Owned,C2,Conservative,0.16584696757472028
18-24,Owned,C2,Labour,0.21038504535801872
18-24,Owned,C2,Liberal Democrat,0.19918514971097617
18-24,Owned,C2,Reform UK,0.1617238470798239
18-24,Owned,C2,Green,0.25092101153959256
18-24,Owned,C2,Other,0.011937978736868466
18-24,Owned,DE,Conservative,0.15106639179985126
18-24,Owned,DE,Labour,0.2074718741713987
18-24,Owned,DE,Liberal Democrat,0.18438625584326787
18-24,Owned,DE,Reform UK,0.14519715767677713
18-24,Owned,DE,Green,0.2943776483958629
18-24,Owned,DE,Other,0.01750067211284216
18-24,Social rent,AB,Conservative,0.08033871088644139
18-24,Social rent,AB,Labour,0.29663861657832524
18-24,Social rent,AB,Liberal Democrat,0.16250797947373907
18-24,Social rent,AB,Reform UK,0.08466375301929586
18-24,Social rent,AB,Green,0.3404273297999025
18-24,Social rent,AB,Other,0.03542361024229585
18-24,Social rent,C1,Conservative,0.09651544971712747
18-24,Social rent,C1,Labour,0.26441796342063495
18-24,Social rent,C1,Liberal Democrat,0.1412154371652524
18-24,Social rent,C1,Reform UK,0.154739485102294
18-24,Social rent,C1,Green,0.3020158840180096
18-24,Social rent,C1,Other,0.041095780576681555
18-24,Social rent,C2,Conservative,0.08426401874613682
18-24,Social rent,C2,Labour,0.24949389047075998
18-24,Social rent,C2,Liberal Democrat,0.13898557078132048
